y,time
210.64551,2921
204.66562,2922
218.25923,2923
219.95523,2924
230.54486,2925
211.61325,2926
204.20903,2927
199.598,2928
212.57625,2929
219.13731,2930
223.81186,2931
221.85124,2932
233.3794,2933
214.28848,2934
220.8687,2935
213.79599,2936
221.79135,2937
220.6055,2938
215.12787,2939
215.92523,2940
220.39053,2941
218.82715,2942
220.79543,2943
218.57043,2944
217.3274,2945
223.7104,2946
218.03192,2947
222.09843,2948
234.26004,2949
228.21924,2950
227.71497,2951
238.00748,2952
232.61435,2953
232.4497,2954
229.57935,2955
219.12396,2956
218.02222,2957
206.01056,2958
217.93672,2959
218.78323,2960
221.82584,2961
222.98004,2962
223.776,2963
229.93446,2964
236.95332,2965
235.23558,2966
239.24113,2967
234.2305,2968
237.41998,2969
230.34035,2970
232.4717,2971
226.31369,2972
227.08215,2973
223.89124,2974
221.5801,2975
223.13675,2976
220.09589,2977
228.50928,2978
221.00443,2979
229.46127,2980
232.63461,2981
235.13193,2982
243.8143,2983
235.3959,2984
234.90811,2985
226.35864,2986
227.31729,2987
230.29742,2988
236.80771,2989
227.80359,2990
228.24384,2991
231.86154,2992
222.7719,2993
237.03,2994
220.57718,2995
223.32785,2996
208.43225,2997
205.46848,2998
207.1431,2999
217.85812,3000
220.14488,3001
226.91187,3002
229.09311,3003
227.56836,3004
225.10449,3005
208.32515,3006
202.31451,3007
193.38055,3008
196.01389,3009
197.64752,3010
203.40628,3011
211.43057,3012
214.19542,3013
228.71602,3014
224.21336,3015
245.99347,3016
229.60213,3017
229.66876,3018
219.8497,3019
225.12762,3020
223.40211,3021
228.99626,3022
213.83954,3023
217.9072,3024
210.4906,3025
204.9889,3026
207.03255,3027
202.59804,3028
211.27284,3029
208.81824,3030
220.0321,3031
209.99423,3032
210.47488,3033
202.6868,3034
202.87878,3035
197.84155,3036
197.0602,3037
207.5749,3038
211.38818,3039
226.86247,3040
216.0492,3041
213.27774,3042
215.80463,3043
205.03934,3044
210.75723,3045
201.48123,3046
206.66139,3047
201.31284,3048
216.70346,3049
213.77579,3050
217.51025,3051
215.15262,3052
210.36583,3053
210.6737,3054
219.60709,3055
209.79895,3056
219.76895,3057
208.6495,3058
210.03862,3059
205.9346,3060
215.80515,3061
207.42621,3062
207.4871,3063
197.55913,3064
202.09497,3065
208.23578,3066
203.76315,3067
211.1725,3068
202.20804,3069
204.7384,3070
206.42276,3071
202.23944,3072
196.98785,3073
182.12149,3074
188.56996,3075
181.76353,3076
207.64029,3077
200.38115,3078
210.6637,3079
202.30054,3080
215.16327,3081
209.77353,3082
211.44821,3083
212.54202,3084
203.91359,3085
208.86852,3086
197.51819,3087
199.02243,3088
203.51492,3089
207.866,3090
225.84671,3091
206.90625,3092
211.22147,3093
184.24586,3094
190.19545,3095
178.89476,3096
185.08044,3097
185.80124,3098
174.65973,3099
176.67249,3100
176.59769,3101
193.06895,3102
195.44083,3103
199.22198,3104
199.45862,3105
200.89543,3106
189.33424,3107
189.12798,3108
177.5961,3109
180.72046,3110
194.66711,3111
199.02362,3112
197.62033,3113
195.36432,3114
196.14137,3115
195.48886,3116
181.17206,3117
177.49779,3118
183.30736,3119
189.13622,3120
194.58188,3121
196.47401,3122
188.57225,3123
182.98883,3124
183.6733,3125
194.91873,3126
206.2463,3127
198.45439,3128
198.08286,3129
198.98083,3130
198.59738,3131
199.00583,3132
198.56348,3133
194.69623,3134
200.83234,3135
201.12283,3136
198.71799,3137
202.91927,3138
195.14522,3139
202.00055,3140
193.10138,3141
197.8936,3142
193.82486,3143
202.42902,3144
204.52414,3145
195.04002,3146
197.48878,3147
199.6926,3148
198.96948,3149
193.23557,3150
187.84401,3151
193.11322,3152
195.73143,3153
201.22754,3154
200.94017,3155
197.59944,3156
194.28342,3157
187.58153,3158
189.66556,3159
199.502,3160
197.17589,3161
201.78867,3162
192.79298,3163
194.67809,3164
189.46172,3165
191.10876,3166
191.44127,3167
192.72794,3168
190.87917,3169
197.9859,3170
190.19336,3171
207.76434,3172
210.89789,3173
211.04074,3174
204.39444,3175
207.20251,3176
203.99767,3177
209.79413,3178
202.7745,3179
206.56697,3180
211.0118,3181
214.10403,3182
208.24643,3183
215.70624,3184
208.8335,3185
225.16632,3186
215.40381,3187
210.60211,3188
216.7514,3189
199.89384,3190
202.38666,3191
196.19028,3192
205.97404,3193
214.42424,3194
213.57361,3195
200.65329,3196
192.475,3197
189.02567,3198
203.23718,3199
207.6309,3200
201.63173,3201
203.34793,3202
193.04967,3203
200.05229,3204
211.8779,3205
211.1829,3206
214.97534,3207
212.29973,3208
214.4501,3209
211.38193,3210
205.83696,3211
207.94641,3212
220.44833,3213
220.64622,3214
223.98454,3215
216.92995,3216
221.22774,3217
211.9165,3218
218.14914,3219
210.60326,3220
244.49316,3221
217.53854,3222
224.49448,3223
200.74539,3224
207.04303,3225
203.87549,3226
214.01791,3227
202.85837,3228
212.84995,3229
213.69824,3230
212.1565,3231
211.51544,3232
211.24225,3233
199.70049,3234
205.15637,3235
192.89445,3236
201.07735,3237
207.19942,3238
205.9093,3239
208.99489,3240
205.09567,3241
213.09839,3242
209.1915,3243
214.11221,3244
210.47673,3245
213.11128,3246
213.92438,3247
218.61848,3248
214.45682,3249
223.14053,3250
218.00565,3251
216.41281,3252
215.87784,3253
215.50587,3254
223.25969,3255
225.95348,3256
239.21771,3257
222.79982,3258
217.72377,3259
205.37767,3260
212.0347,3261
216.7702,3262
223.38298,3263
223.26442,3264
226.01793,3265
228.8122,3266
220.76254,3267
217.71373,3268
209.216,3269
213.72714,3270
212.4497,3271
209.70325,3272
214.83699,3273
228.17456,3274
233.05325,3275
229.5683,3276
211.17784,3277
206.38669,3278
198.45055,3279
217.69186,3280
224.07095,3281
224.74945,3282
210.8219,3283
207.88092,3284
204.1885,3285
210.17871,3286
222.49496,3287
220.46085,3288
226.98508,3289
217.3653,3290
214.34457,3291
216.60938,3292
220.28766,3293
216.75964,3294
218.06883,3295
227.1481,3296
237.39178,3297
237.43536,3298
233.91534,3299
227.85866,3300
226.97522,3301
219.90465,3302
219.53925,3303
216.41537,3304
214.6695,3305
220.48398,3306
219.77443,3307
225.38936,3308
225.34299,3309
232.3984,3310
223.69897,3311
231.326,3312
219.99738,3313
234.23964,3314
218.2753,3315
222.88203,3316
222.80225,3317
218.37186,3318
214.60806,3319
217.17052,3320
214.20009,3321
220.08755,3322
211.93538,3323
212.82242,3324
210.65688,3325
221.42072,3326
237.12177,3327
230.99698,3328
235.11557,3329
217.7683,3330
235.59746,3331
232.0698,3332
245.14969,3333
241.03236,3334
230.03323,3335
226.42737,3336
211.7041,3337
225.07394,3338
226.62428,3339
237.57407,3340
231.61769,3341
227.50273,3342
224.59543,3343
225.25967,3344
234.48161,3345
238.19458,3346
230.29828,3347
226.37889,3348
223.4436,3349
225.34909,3350
228.92896,3351
219.87947,3352
212.84479,3353
213.83142,3354
222.06046,3355
225.5703,3356
222.77643,3357
220.83472,3358
220.34691,3359
225.23038,3360
224.30472,3361
224.42252,3362
222.41093,3363
219.96202,3364
224.67508,3365
211.35947,3366
216.18903,3367
219.47098,3368
227.89592,3369
226.40662,3370
226.00922,3371
231.52281,3372
227.64368,3373
216.5698,3374
209.12323,3375
214.17818,3376
223.4721,3377
240.28413,3378
223.078,3379
225.91,3380
222.67685,3381
220.74997,3382
220.37656,3383
219.96758,3384
224.45892,3385
216.97061,3386
223.60435,3387
220.96313,3388
233.22447,3389
227.409,3390
226.50887,3391
218.17601,3392
215.30344,3393
220.24312,3394
221.18243,3395
225.81091,3396
223.05264,3397
215.896,3398
220.60623,3399
214.71893,3400
234.68237,3401
229.85173,3402
226.5113,3403
214.37704,3404
201.30904,3405
196.66293,3406
195.95096,3407
210.79044,3408
214.83318,3409
215.18613,3410
232.90445,3411
235.9548,3412
227.02362,3413
216.42438,3414
192.21826,3415
209.30713,3416
202.08347,3417
221.23111,3418
210.04329,3419
205.65378,3420
196.56311,3421
195.25279,3422
198.33633,3423
201.47629,3424
207.71378,3425
218.0848,3426
200.31451,3427
199.30962,3428
193.45601,3429
198.98859,3430
214.84398,3431
208.7471,3432
206.53864,3433
205.80132,3434
191.13374,3435
196.15701,3436
205.16957,3437
210.12128,3438
212.63763,3439
206.0091,3440
202.97205,3441
205.571,3442
206.90695,3443
195.48471,3444
201.93265,3445
201.41258,3446
209.14351,3447
206.16754,3448
207.08621,3449
209.22986,3450
206.35295,3451
199.5343,3452
191.1806,3453
192.91977,3454
188.5578,3455
199.38214,3456
202.6978,3457
214.93552,3458
218.12921,3459
219.78864,3460
212.13724,3461
211.90706,3462
199.28793,3463
205.31995,3464
198.89516,3465
195.38988,3466
199.13899,3467
200.03218,3468
218.03369,3469
213.88055,3470
204.68883,3471
195.81445,3472
185.32674,3473
186.54465,3474
201.62437,3475
207.20508,3476
214.23279,3477
225.11182,3478
210.49612,3479
206.01038,3480
201.31505,3481
208.07059,3482
207.04161,3483
207.159,3484
213.16406,3485
220.2583,3486
211.8981,3487
219.72044,3488
201.34875,3489
202.35353,3490
193.56223,3491
196.49413,3492
201.8103,3493
195.7174,3494
195.81947,3495
193.69292,3496
186.99536,3497
181.69455,3498
177.52335,3499
183.38147,3500
193.33832,3501
214.74915,3502
211.15762,3503
208.03265,3504
200.0052,3505
197.50421,3506
190.01736,3507
199.97752,3508
196.5969,3509
197.49362,3510
196.06102,3511
208.55461,3512
208.06168,3513
215.55763,3514
210.90475,3515
207.60132,3516
205.90387,3517
217.50322,3518
208.2079,3519
204.24266,3520
195.75085,3521
188.25455,3522
192.71991,3523
189.42654,3524
178.61786,3525
185.30507,3526
191.78873,3527
205.33769,3528
202.10815,3529
203.54105,3530
205.97925,3531
205.43735,3532
200.64478,3533
211.40176,3534
214.17981,3535
211.76123,3536
212.19484,3537
194.13043,3538
212.51263,3539
218.13788,3540
220.2275,3541
230.32916,3542
211.10483,3543
213.54955,3544
210.57834,3545
200.48337,3546
204.75102,3547
196.40797,3548
216.36685,3549
210.59946,3550
